name,length (minutes),path,class
ANOTHER FIGHT ON THE 2 TRAIN NYC SMFH LMFAO! @SHOTIMETV ON IG.wav,2.82896485260771,data/dangerous/ANOTHER FIGHT ON THE 2 TRAIN NYC SMFH LMFAO! @SHOTIMETV ON IG.wav,1
VIDEO： Fight between Rapid bus driver and student.wav,3.9810612244897956,data/dangerous/VIDEO： Fight between Rapid bus driver and student.wav,1
TTC Subway 123.wav,8.74811829176115,data/safe/TTC Subway 123.wav,0
Fight in NYC transit calling lame at 2 guys.wav,6.933091458805745,data/dangerous/Fight in NYC transit calling lame at 2 guys.wav,1
TTC Subway 103.wav,7.752272486772487,data/safe/TTC Subway 103.wav,0
TTC Subway 106.wav,19.46122486772487,data/safe/TTC Subway 106.wav,0
NY Man Takes Up For Bus Driver and Wheelchair Passenger.wav,2.7544674981103556,data/dangerous/NY Man Takes Up For Bus Driver and Wheelchair Passenger.wav,1
CTA bus fight old skool vs new skool.wav,3.965581254724112,data/dangerous/CTA bus fight old skool vs new skool.wav,1
Must You Be This Ghetto？.wav,8.080931216931218,data/dangerous/Must You Be This Ghetto？.wav,1
Gay man vs girl go wild on septa.wav,13.45751171579743,data/dangerous/Gay man vs girl go wild on septa.wav,1
"GRSE! Atlanta 04dec12 Crip Game  w⧸ Fred Smith, Armond Chester.wav",4.752157596371882,"data/dangerous/GRSE! Atlanta 04dec12 Crip Game  w⧸ Fred Smith, Armond Chester.wav",1
TTC Subway 115.wav,102.10868669690099,data/safe/TTC Subway 115.wav,0
SXSW Fight： Hustle Simmons Vs (B.M.F) Bleu Davinci Crew ( HD Footage).wav,3.5143401360544217,data/dangerous/SXSW Fight： Hustle Simmons Vs (B.M.F) Bleu Davinci Crew ( HD Footage).wav,1
Fight on MFL bus philly. Drunk dude leaking.wav,5.554407029478458,data/dangerous/Fight on MFL bus philly. Drunk dude leaking.wav,1
Girl Fight on NYC Train.wav,3.8291643990929702,data/dangerous/Girl Fight on NYC Train.wav,1
ANGRY BLACK MAN ON NYC SUBWAY HATES WOMEN!.wav,9.825910808767953,data/dangerous/ANGRY BLACK MAN ON NYC SUBWAY HATES WOMEN!.wav,1
"VIOLENT Bus Attack,  No death🐵No blood🙈No medical attention🙉No police action🚓.wav",6.278675736961451,"data/dangerous/VIOLENT Bus Attack,  No death🐵No blood🙈No medical attention🙉No police action🚓.wav",1
Only On SEPTA!.wav,7.476245275888133,data/dangerous/Only On SEPTA!.wav,1
TTC Subway 126.wav,10.280345049130764,data/safe/TTC Subway 126.wav,0
Roided up asshole gets destroyed on the subway.wav,2.510851473922903,data/dangerous/Roided up asshole gets destroyed on the subway.wav,1
"Man picks fight with teenager on the MRT, a commuter steps in and asks the man to leave the train.wav",3.4572581254724115,"data/dangerous/Man picks fight with teenager on the MRT, a commuter steps in and asks the man to leave the train.wav",1
🔥 Crazy Lady Subway FreakOut Over Seat ft. homeless jimmy.wav,2.556130007558579,data/dangerous/🔥 Crazy Lady Subway FreakOut Over Seat ft. homeless jimmy.wav,1
