name,length (minutes),path,class
TTC Subway 115.wav,204.21737339380198,data/safe/TTC Subway 115.wav,DataClass.SAFE
TTC Subway 116.wav,162.81774225245653,data/safe/TTC Subway 116.wav,DataClass.SAFE
TTC Subway 114.wav,142.56820030234314,data/safe/TTC Subway 114.wav,DataClass.SAFE
TTC Subway 112.wav,92.67838624338624,data/safe/TTC Subway 112.wav,DataClass.SAFE
TTC Subway 113.wav,77.0225253212396,data/safe/TTC Subway 113.wav,DataClass.SAFE
TTC Subway 108.wav,64.78560922146636,data/safe/TTC Subway 108.wav,DataClass.SAFE
TTC Subway 109.wav,64.73912622826909,data/safe/TTC Subway 109.wav,DataClass.SAFE
TTC Subway 107.wav,44.56567271352986,data/safe/TTC Subway 107.wav,DataClass.SAFE
TTC Subway 106.wav,38.92244973544974,data/safe/TTC Subway 106.wav,DataClass.SAFE
TTC Subway 111.wav,36.465391534391536,data/safe/TTC Subway 111.wav,DataClass.SAFE
TTC Subway 117.wav,28.789068027210885,data/safe/TTC Subway 117.wav,DataClass.SAFE
TTC Subway 118.wav,27.584532879818592,data/safe/TTC Subway 118.wav,DataClass.SAFE
TTC Subway 126.wav,20.560690098261528,data/safe/TTC Subway 126.wav,DataClass.SAFE
TTC Subway 121.wav,19.89292290249433,data/safe/TTC Subway 121.wav,DataClass.SAFE
TTC Subway 135.wav,19.807009070294786,data/safe/TTC Subway 135.wav,DataClass.SAFE
TTC Subway 99.wav,19.459483749055178,data/safe/TTC Subway 99.wav,DataClass.SAFE
TTC Subway 122.wav,19.383631897203326,data/safe/TTC Subway 122.wav,DataClass.SAFE
TTC Subway 141.wav,18.779139077853362,data/safe/TTC Subway 141.wav,DataClass.SAFE
TTC Subway 104.wav,17.555555555555554,data/safe/TTC Subway 104.wav,DataClass.SAFE
TTC Subway 123.wav,17.4962365835223,data/safe/TTC Subway 123.wav,DataClass.SAFE
TTC Subway 136.wav,16.50590551776266,data/safe/TTC Subway 136.wav,DataClass.SAFE
TTC Subway 103.wav,15.504544973544974,data/safe/TTC Subway 103.wav,DataClass.SAFE
TTC Subway 27.wav,3.6264013605442176,data/safe/TTC Subway 27.wav,DataClass.SAFE
